Touristenstellplätze,weiter Unterküfte,kleiner Platz (<80 m2),mittlerer Platz  (~100 m2),grosser Platz (>110 m2),Stellplatz am Wasser,Behindertengerechter Zugang,Haustierfreundlichkeit,Waschmaschine und Trockner,Aufenthaltsraum,Gemeinschaftsküche,Grillplatz,Gastronomie,Shop,Hallenbad,Freibad,Bademöglichkeit,Babypool,Sportplatz,Tennis,Wifi,Spielplatz,Unterhaltungsprogramm,Bootsvermietung,Fahrradvermietung,Öffnungszeit[%],Preis,Informationsstelle,Sternebewertung,Mitgliedschaften,Region Berner-Mitelland,Region Berner-Oberland,Region Freiburg-Neuenburg-Jura,Region Graubuenden,Region Nordwestschweiz,Region Ostschweiz,Region Tessin,Region Waadt-Genfersee,Region Wallis,Region Zentralschweiz,Region Zuerich,Hauptsaison,Nebensaison,Wandern,Strandzugang,Aktivitäten,Bahnhof,Busstation
60.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0.55,43.5,1,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8,1,1
60.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0.55,51.5,1,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8,1,1
60.0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0.55,56.5,1,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8,1,1
40.0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0.55,28.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,11,0,1
40.0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0.55,34.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,11,0,1
40.0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0.55,32.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,11,0,1
40.0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0.55,42.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,11,0,1
60.0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0.67,31.7,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,10,0,1
60.0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0.67,39.2,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,10,0,1
60.0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0.67,36.7,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,10,0,1
