URL;Preisseite;Latitude;Longitude;Stellplatz am Wasser;weiter Unterküfte;kleiner Platz (<80 m2);mittlerer Platz  (~100 m2);grosser Platz (>110 m2);Hauptsaison;Nebensaison;Preis
https://camping.ch/de/campingplatz/zuerich/maur/rausenbach?l=true;https://www.camping-rausenbach.ch/preisliste;47.34622;8.66947;0;0;1;0;0;1;0;32.5
https://camping.ch/de/campingplatz/zuerich/maur/rausenbach?l=true;https://www.camping-rausenbach.ch/preisliste;47.34622;8.66947;1;0;0;1;0;1;0;42.5
https://camping.ch/de/campingplatz/zentralschweiz/meierskappel/gerbe?l=true;https://www.swiss-bauernhof.ch/camping/;47.12139194;8.445936944;0;1;1;0;0;0;1;31.7
https://camping.ch/de/campingplatz/zentralschweiz/meierskappel/gerbe?l=true;https://www.swiss-bauernhof.ch/camping/;47.12139194;8.445936944;0;1;0;1;0;0;1;39.2
https://camping.ch/de/campingplatz/zentralschweiz/meierskappel/gerbe?l=true;https://www.swiss-bauernhof.ch/camping/;47.12139194;8.445936944;0;1;1;0;0;1;0;36.7
https://camping.ch/de/campingplatz/zentralschweiz/meierskappel/gerbe?l=true;https://www.swiss-bauernhof.ch/camping/;47.12139194;8.445936944;0;1;0;1;0;1;0;44.2
https://camping.ch/de/campingplatz/zentralschweiz/morschach/ferienhof-rueti?l=true;https://www.ferienhof-rueti.ch/camping;46.99030694;8.633943889;0;1;0;1;0;1;1;29
https://camping.ch/de/campingplatz/zentralschweiz/luzern/camping-international-lido-luzern?l=true;https://camping-international.ch/luzern/de/wohnwagen-wohnmobil/;47.05000806;8.337648889;0;1;0;1;0;1;0;40.35
https://camping.ch/de/campingplatz/zentralschweiz/luzern/camping-international-lido-luzern?l=true;https://camping-international.ch/luzern/de/wohnwagen-wohnmobil/;47.05000806;8.337648889;0;1;1;0;0;1;0;50.35
https://camping.ch/de/campingplatz/zentralschweiz/luzern/camping-international-lido-luzern?l=true;https://camping-international.ch/luzern/de/wohnwagen-wohnmobil/;47.05000806;8.337648889;0;1;0;1;0;0;1;37.95
