url,name,locality,website,star category,activities,tourist pitches,open (seasons 1),open (seasons 2),open (seasons 3),open (seasons 4),open (seasons 5),open (seasons 6),open (seasons 7),sport field,golf,tennis,indoor swimming pool,unheated pool,bathing facilities,baby pool,boat rental,bike rental,entertainment,playground,disco,wifi,lounge,info corner,easy access for disabled people,animals allowed,kitchen,BBQ area,restaurant,take away,shop with limited range,kiosk,shopping centre,shop with rich range,washing machine,laundry dryer / tumble dryer,hiking,lake with sandy beach,lake with stony beach,river,train station,bus,VSC membership,TCS membership,SCCV membership
https://camping.ch/de/campingplatz/nordwestschweiz/aarburg/wiggerspitz?l=true,Wiggerspitz,4663 Aarburg (AG),,0,8,50,29.03.2024 − 30.09.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/les-brenets/camping-lac-des-brenets?l=true,Camping Lac des Brenets,2416 Les Brenets (NE),www.camping-brenets.ch,4,4,33,01.01.2024 − 31.12.2024,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0
https://camping.ch/de/campingplatz/zentralschweiz/morschach/ferienhof-rueti?l=true,Ferienhof Rüti,6443 Morschach (SZ),www.ferienhof-rueti.ch,3,11,20,Sommer: 01.04.2024 − 31.10.2024,01.11.2024 − 31.03.2025,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/la-neuveville/camping-de-la-plage-la-neuveville?l=true,Camping de la Plage,2520 La Neuveville (BE),,2,1,30,01.04.2024 − 30.09.2024,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
https://camping.ch/de/campingplatz/zuerich/wildberg/wildberg?l=true,Seiler Camping Wildberg AG,8489 Wildberg (ZH),,3,5,7,01.01.2024 − 31.12.2024,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0
https://camping.ch/de/campingplatz/zentralschweiz/flueelen/camping-windsurfing-urnersee?l=true,Camping Windsurfing Urnersee,6454 Flüelen (UR),,3,11,15,01.05.2024 − 31.10.2024,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0
https://camping.ch/de/campingplatz/wallis/salvan/van-d-en-haut?l=true,Van d'En Haut,1922 Salvan (VS),,1,6,60,01.06.2024 − 30.09.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
https://camping.ch/de/campingplatz/graubuenden/silvaplana/silvaplana?l=true,Silvaplana,7513 Silvaplana (GR),,3,11,127,15.05.2024 − 15.10.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/rebeuvilier/du-raimeux?l=true,Du Raimeux,2832 Rebeuvilier (JU),,2,4,8,01.01.2024 − 31.12.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
https://camping.ch/de/campingplatz/zentralschweiz/willerzell/grueene-aff?l=true,Grüene Aff,8846 Willerzell (SZ),,3,11,20,01.01.2024 − 31.12.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0
https://camping.ch/de/campingplatz/waadt-genfersee/lausanne/camping-de-vidy?l=true,Camping de Vidy,1007 Lausanne (VD),www.clv.ch,4,8,127,Hauptsaison: 01.06.2024 − 30.09.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/le-landeron/bellerive-le-landeron?l=true,Bellerive,2525 Le Landeron (NE),,0,1,5,01.04.2024 − 31.10.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
https://camping.ch/de/campingplatz/waadt-genfersee/romainm-tier/le-nozon?l=true,Le Nozon,1349 Romainmôtier (VD),,2,4,25,01.04.2024 − 01.10.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
https://camping.ch/de/campingplatz/graubuenden/mesocco/san-bernardino?l=true,Campeggio San Bernardino,6565 Mesocco (GR),,2,0,30,01.01.2024 − 31.12.2024,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
